name,telecode,latitude,longitude,centrality_score,province,city,railway_bureau,station_type
来宾北,,23.753291,109.24022,50,广西壮族自治区,来宾,南宁铁路局,客运站
来舟,,26.628648,117.982075,50,福建,南平,南昌铁路局,客运站
杨岗,,45.714517,132.281483,50,黑龙江,鸡西,哈尔滨铁路局,客运站
杨杖子,,40.717945,119.128994,50,辽宁,朝阳,沈阳铁路局,客运站
杨柳青,,39.141114,116.996263,50,天津,西青区,北京铁路局,客运站
杨树岭,,40.995214,118.878624,50,河北,承德,沈阳铁路局,客运站
杨陵,,34.269308,108.073873,50,陕西,咸阳,西安铁路局,客运站
杨陵南,,34.253774,108.048084,50,陕西,咸阳,西安铁路局,客运站
杭州,,30.245946,120.178407,100,浙江,杭州,上海铁路局,客运站
杭州东,,30.293492,120.208384,100,浙江,杭州,上海铁路局,客运站
松原,,45.107515,124.810415,65,吉林,松原,沈阳铁路局,客运站
松树,,39.824675,122.092613,50,辽宁,大连,沈阳铁路局,客运站
松树镇,,42.052863,127.10921,50,吉林,白山,沈阳铁路局,客运站
松桃,,28.080044,108.968518,50,贵州,铜仁,广铁集团,客运站
松江,,31.002018,121.223547,50,上海,松江区,上海铁路局,客运站
松江南,,30.987184,121.226719,50,上海,松江区,上海铁路局,客运站
松江河,,42.175507,127.477663,50,吉林,白山,沈阳铁路局,客运站
松江镇,,42.569048,128.332502,50,吉林,延边朝鲜族自治州,沈阳铁路局,客运站
松河,,26.041257,104.627057,50,贵州,六盘水,昆明铁路局,客运站
松滋,,30.175454,111.602135,50,湖北,荆州,武汉铁路局,客运站
林东,,43.93237,119.405931,50,内蒙古自治区,赤峰,呼和浩特铁路局,客运站
林口,,45.290095,130.262942,55,黑龙江,牡丹江,哈尔滨铁路局,客运站
林海,,51.577631,124.350915,50,黑龙江,大兴安岭地区,哈尔滨铁路局,客运站
林源,,46.342713,124.757565,50,黑龙江,大庆,哈尔滨铁路局,客运站
林西,,43.591022,118.074377,50,内蒙古自治区,赤峰,呼和浩特铁路局,客运站
枝城,,30.280133,111.510381,50,湖北,宜昌,武汉铁路局,客运站
枝江北,,30.479157,111.766576,50,湖北,宜昌,武汉铁路局,客运站
枣庄,,34.780596,117.300557,50,山东,枣庄,济南铁路局,客运站
枣庄西,,34.793688,117.249125,60,山东,枣庄,济南铁路局,客运站
枣强,,37.504001,115.73262,50,河北,衡水,北京铁路局,客运站
枣阳,,32.072681,112.755942,50,湖北,襄阳,武汉铁路局,客运站
柏果,,26.004255,104.501049,50,贵州,六盘水,昆明铁路局,客运站
柞水,,33.640748,109.141845,50,陕西,商洛,西安铁路局,客运站
查布嘎,,43.861022,120.069613,50,内蒙古自治区,赤峰,呼和浩特铁路局,客运站
柳园,,41.105084,95.504459,55,甘肃,酒泉,乌鲁木齐铁路局,客运站
柳园南,,41.101213,95.471173,50,甘肃,酒泉,乌鲁木齐铁路局,客运站
柳州,,24.310159,109.384492,100,广西壮族自治区,柳州,南宁铁路局,客运站
柳林南,,37.443478,110.925974,65,山西,吕梁,太原铁路局,客运站
柳树屯,,40.762561,120.795435,50,辽宁,葫芦岛,沈阳铁路局,客运站
柳河,,42.287189,125.758887,50,吉林,通化,沈阳铁路局,客运站
柴岗,,44.557945,125.118334,50,吉林,长春,沈阳铁路局,客运站
柴河,,44.765294,129.67973,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
栟茶,,32.500733,120.87666,50,江苏,南通,上海铁路局,客运站
株洲,,27.838655,113.150937,50,湖南,株洲,广铁集团,客运站
株洲西,,27.794172,113.062796,50,湖南,株洲,广铁集团,客运站
根河,,50.775856,121.502504,65,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
格尔木,,36.383255,94.906201,65,青海,海西蒙古族藏族自治州,青藏铁路公司,客运站
桂平,,23.318955,110.11182,50,广西壮族自治区,贵港,南宁铁路局,客运站
桂林,,25.263879,110.278209,75,广西壮族自治区,桂林,南宁铁路局,客运站
桃山,,46.928429,128.179128,50,黑龙江,伊春,哈尔滨铁路局,客运站
桃村,,37.188137,121.136787,50,山东,烟台,济南铁路局,客运站
桐乡,,30.539366,120.56322,50,浙江,嘉兴,上海铁路局,客运站
桐城,,31.052797,116.972956,50,安徽,安庆,上海铁路局,客运站
桐子林,,26.713719,101.853916,50,四川,攀枝花,成都铁路局,客运站
桐柏,,32.391735,113.430085,50,河南,南阳,郑州铁路局,客运站
桐梓,,28.133985,106.828134,50,贵州,遵义,成都铁路局,客运站
桑根达来,,42.68036,115.938922,50,内蒙古自治区,锡林郭勒盟,呼和浩特铁路局,客运站
桥头,,41.191078,123.724201,50,辽宁,本溪,沈阳铁路局,客运站
桦南,,46.242234,130.575609,70,黑龙江,佳木斯,哈尔滨铁路局,客运站
桦林,,44.675588,129.667864,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
梁山,,35.81921,115.93222,50,山东,济宁,济南铁路局,客运站
梁平,,30.717687,107.812524,50,重庆,梁平县,成都铁路局,客运站
梅州,,24.261733,116.126468,65,广东,梅州,广铁集团,客运站
梅河口,,42.532594,125.679022,55,吉林,通化,沈阳铁路局,客运站
梧州,,23.489577,111.235483,50,广西壮族自治区,梧州,南宁铁路局,客运站
梧州南,,23.395885,111.217659,70,广西壮族自治区,梧州,南宁铁路局,客运站
梨树镇,,45.076219,130.674929,50,黑龙江,鸡西,哈尔滨铁路局,客运站
楚山,,45.116839,130.02187,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
楚雄,,25.053925,101.543211,60,云南,楚雄彝族自治州,昆明铁路局,客运站
榆林,,38.273206,109.714589,65,陕西,榆林,西安铁路局,客运站
榆树,,44.81512,126.529144,75,吉林,长春,沈阳铁路局,客运站
榆树屯,,47.153235,123.889233,50,黑龙江,齐齐哈尔,哈尔滨铁路局,客运站
榆次,,37.696396,112.724647,55,山西,晋中,太原铁路局,客运站
榆社,,37.05151,112.963219,50,山西,晋中,太原铁路局,客运站
樟木头,,22.904118,114.062222,50,广东,东莞,广铁集团,客运站
樟树,,28.080015,115.57261,50,江西,宜春,南昌铁路局,客运站
樟树东,,27.972851,115.599595,50,江西,宜春,南昌铁路局,客运站
横峰,,28.417322,117.597364,50,江西,上饶,南昌铁路局,客运站
横沟桥东,,29.935935,114.367136,50,湖北,咸宁,武汉铁路局,客运站
横道河子,,44.811946,129.06775,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
歙县,,29.869124,118.406087,50,安徽,黄山,上海铁路局,客运站
歙县北,,29.92439,118.405439,50,安徽,黄山,上海铁路局,客运站
正定机场,,38.251999,114.705542,50,河北,石家庄,北京铁路局,客运站
正镶白旗,,42.279281,115.034104,50,内蒙古自治区,锡林郭勒盟,呼和浩特铁路局,客运站
武义,,28.911575,119.826378,50,浙江,金华,上海铁路局,客运站
武乡,,36.855572,112.847037,50,山西,长治,太原铁路局,客运站
武功,,34.259591,108.200431,50,陕西,咸阳,西安铁路局,客运站
武夷山,,27.73308,118.025074,50,福建,南平,南昌铁路局,客运站
武威,,37.903677,102.622164,65,甘肃,武威,兰州铁路局,客运站
武威南,,37.815016,102.73558,60,甘肃,武威,兰州铁路局,客运站
武安,,36.67665,114.20641,50,河北,邯郸,北京铁路局,客运站
武山,,34.722707,104.91611,50,甘肃,天水,兰州铁路局,客运站
武当山,,32.54071,110.960972,55,湖北,十堰,武汉铁路局,客运站
武昌,,30.530832,114.312343,100,湖北,武汉,武汉铁路局,客运站
武汉,,30.609377,114.418855,100,湖北,武汉,武汉铁路局,客运站
武清,,39.371297,117.010005,50,天津,武清区,北京铁路局,客运站
武穴,,29.971709,115.632541,50,湖北,黄冈,武汉铁路局,客运站
武隆,,29.328999,107.772077,50,重庆,武隆县,成都铁路局,客运站
歪头山,,41.494449,123.64551,50,辽宁,本溪,沈阳铁路局,客运站
毛坝,,31.618593,107.740422,50,四川,达州,西安铁路局,客运站
毛坝关,,32.344412,108.24672,50,陕西,安康,西安铁路局,客运站
民权,,34.646332,115.13481,50,河南,商丘,郑州铁路局,客运站
水家湖,,32.49125,117.169426,50,安徽,合肥,上海铁路局,客运站
水富,,28.610059,104.414414,50,云南,昭通,成都铁路局,客运站
水泉,,41.111252,119.15815,50,辽宁,朝阳,沈阳铁路局,客运站
永乐店,,34.536267,108.942921,50,陕西,咸阳,西安铁路局,客运站
永修,,29.02316,115.810459,50,江西,九江,南昌铁路局,客运站
永嘉,,28.07291,120.690616,50,浙江,温州,上海铁路局,客运站
永安,,25.977554,117.373174,50,福建,三明,南昌铁路局,客运站
永安乡,,45.336951,131.469934,50,黑龙江,鸡西,哈尔滨铁路局,客运站
永定,,24.737649,116.739167,50,福建,龙岩,南昌铁路局,客运站
永川,,29.344021,105.897005,50,重庆,永川区,成都铁路局,客运站
永州,,26.457695,111.565697,100,湖南,永州,广铁集团,客运站
永康,,28.912275,120.016638,50,浙江,金华,上海铁路局,客运站
永泰,,25.851363,118.929091,50,福建,福州,南昌铁路局,客运站
永济,,34.870394,110.44839,55,山西,运城,太原铁路局,客运站
永济北,,35.028226,110.419124,60,山西,运城,太原铁路局,客运站
永登,,36.720541,103.27107,50,甘肃,兰州,兰州铁路局,客运站
永福南,,25.001073,109.994826,50,广西壮族自治区,桂林,南宁铁路局,客运站
永郎,,27.153046,102.2515,50,四川,凉山彝族自治州,成都铁路局,客运站
汉中,,33.09172,107.025595,100,陕西,汉中,西安铁路局,客运站
汉源,,29.236015,102.904193,50,四川,凉山彝族自治州,成都铁路局,客运站
汉阴,,32.879255,108.502377,50,陕西,安康,西安铁路局,客运站
汐子,,41.790089,119.261516,50,内蒙古自治区,赤峰,沈阳铁路局,客运站
汕头,,23.374581,116.750151,100,广东,汕头,广铁集团,客运站
汕尾,,22.813301,115.423704,75,广东,汕尾,广铁集团,客运站
汝州,,34.171208,112.821607,50,河南,平顶山,郑州铁路局,客运站
江华,,25.182735,111.549288,50,湖南,永州,南宁铁路局,客运站
江宁,,31.938563,118.893917,50,江苏,南京,上海铁路局,客运站
江山,,28.77495,118.638996,100,浙江,衢州,上海铁路局,客运站
江所田,,24.979337,104.483916,50,云南,曲靖,昆明铁路局,客运站
江桥,,46.775785,123.683676,50,黑龙江,齐齐哈尔,哈尔滨铁路局,客运站
江永,,25.352616,111.460259,50,湖南,永州,南宁铁路局,客运站
江油,,31.784086,104.766712,85,四川,绵阳,成都铁路局,客运站
江津,,29.264353,106.237152,50,重庆,江津区,成都铁路局,客运站
江边村,,27.654979,113.107505,50,江西,抚州,南昌铁路局,客运站
江都,,32.460715,119.572737,50,江苏,扬州,上海铁路局,客运站
江门,,22.563665,113.097804,50,广东,江门,广铁集团,客运站
池州,,30.621868,117.516842,60,安徽,池州,上海铁路局,客运站
汤原,,46.745864,129.917316,50,黑龙江,佳木斯,哈尔滨铁路局,客运站
汤山城,,40.310167,124.20357,50,辽宁,丹东,沈阳铁路局,客运站
汤旺河,,48.453017,129.573531,50,黑龙江,伊春,哈尔滨铁路局,客运站
汤池,,46.990947,123.773929,55,黑龙江,齐齐哈尔,哈尔滨铁路局,客运站
汤逊湖,,30.447918,114.379374,50,湖北,武汉,武汉铁路局,客运站
汤阴,,35.914548,114.340228,50,河南,安阳,郑州铁路局,客运站
汨罗,,28.81672,113.069769,50,湖南,岳阳,广铁集团,客运站
汨罗东,,28.748798,113.138353,50,湖南,岳阳,广铁集团,客运站
汪清,,43.330229,129.73358,50,吉林,延边朝鲜族自治州,沈阳铁路局,客运站
汾阳,,37.37238,111.910914,50,山西,吕梁,太原铁路局,客运站
沁县,,36.758616,112.698963,55,山西,长治,太原铁路局,客运站
沁阳,,35.200526,112.944103,50,河南,焦作,郑州铁路局,客运站
沂南,,35.488013,118.614269,50,山东,临沂,济南铁路局,客运站
沂水,,35.644115,118.721513,50,山东,临沂,济南铁路局,客运站
沃皮,,44.227226,125.525632,50,吉林,长春,沈阳铁路局,客运站
沈丘,,33.362947,115.081325,50,河南,周口,武汉铁路局,客运站
沈家,,46.094774,126.764655,50,黑龙江,哈尔滨,哈尔滨铁路局,客运站
沈阳,,41.792687,123.38719,100,辽宁,沈阳,沈阳铁路局,客运站
沈阳北,,41.816988,123.429758,100,辽宁,沈阳,沈阳铁路局,客运站
沙后所,,40.476174,120.549292,50,辽宁,葫芦岛,沈阳铁路局,客运站
沙城,,40.396078,115.509657,50,河北,张家口,北京铁路局,客运站
沙岭子,,40.671776,114.918756,50,河北,张家口,北京铁路局,客运站
沙河口,,38.924525,121.58232,50,辽宁,大连,沈阳铁路局,客运站
沙河市,,36.860784,114.491718,55,河北,邢台,北京铁路局,客运站
沙海,,41.495214,119.460756,50,辽宁,朝阳,沈阳铁路局,客运站
沙湾县,,44.321603,85.606028,50,新疆维吾尔自治区,伊犁哈萨克自治州,乌鲁木齐铁路局,客运站
沟口,,48.678095,122.019919,50,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
沟帮子,,41.359814,121.769535,50,辽宁,锦州,沈阳铁路局,客运站
沧州,,38.308735,116.871827,50,河北,沧州,北京铁路局,客运站
沧州西,,38.306263,116.762051,55,河北,沧州,北京铁路局,客运站
沭阳,,34.112998,118.758709,50,江苏,宿迁,上海铁路局,客运站
河口南,,36.163764,103.453812,50,甘肃,兰州,兰州铁路局,客运站
河唇,,21.704887,110.304149,50,广东,湛江,南宁铁路局,客运站
河津,,35.58808,110.720133,50,山西,运城,太原铁路局,客运站
河源,,23.762084,114.67854,65,广东,河源,广铁集团,客运站
河边,,38.605051,113.098572,55,山西,忻州,太原铁路局,客运站
治安,,43.347889,121.503488,50,内蒙古自治区,通辽,沈阳铁路局,客运站
泉州,,24.975919,118.562456,60,福建,泉州,南昌铁路局,客运站
泊头,,38.061127,116.580936,50,河北,沧州,北京铁路局,客运站
泗县,,33.539186,117.844937,50,安徽,宿州,上海铁路局,客运站
泗水,,35.636589,117.255764,50,山东,济宁,济南铁路局,客运站
泗洪,,33.608336,118.213613,50,江苏,宿迁,上海铁路局,客运站
泗阳,,33.756218,118.708676,50,江苏,宿迁,上海铁路局,客运站
泡子,,42.205157,122.322998,50,辽宁,阜新,沈阳铁路局,客运站
泥河子,,41.451305,121.223515,50,辽宁,锦州,沈阳铁路局,客运站
泰和,,26.835003,114.944392,50,江西,吉安,南昌铁路局,客运站
泰宁,,26.930065,117.148114,55,福建,三明,南昌铁路局,客运站
泰安,,36.186781,117.104667,70,山东,泰安,济南铁路局,客运站
泰山,,36.186781,117.104667,55,山东,泰安,济南铁路局,客运站
泰州,,32.531063,119.975628,100,江苏,泰州,上海铁路局,客运站
泰康,,46.869072,124.441243,50,黑龙江,大庆,哈尔滨铁路局,客运站
泰来,,46.390409,123.405186,65,黑龙江,齐齐哈尔,哈尔滨铁路局,客运站
泽普,,38.178532,77.305432,50,新疆维吾尔自治区,喀什,乌鲁木齐铁路局,客运站
泾县,,30.661541,118.381449,50,安徽,宣城,上海铁路局,客运站
洋河,,33.790978,118.362744,50,江苏,宿迁,上海铁路局,客运站
洛阳,,34.68662,112.429938,100,河南,洛阳,郑州铁路局,客运站
洛阳东,,34.6972,112.480248,50,河南,洛阳,郑州铁路局,客运站
洪河,,47.579342,133.513849,50,黑龙江,佳木斯,哈尔滨铁路局,客运站
洪洞,,36.262043,111.665544,50,山西,临汾,太原铁路局,客运站
洪洞西,,36.254049,111.57513,55,山西,临汾,太原铁路局,客运站
洮南,,45.338472,122.803198,50,吉林,白城,沈阳铁路局,客运站
济南,,36.670844,116.985049,100,山东,济南,济南铁路局,客运站
济南东,,36.680836,117.023537,100,山东,济南,济南铁路局,客运站
济南西,,36.668948,116.886054,100,山东,济南,济南铁路局,客运站
济宁,,35.392996,116.595649,50,山东,济宁,济南铁路局,客运站
济源,,35.111358,112.567879,50,河南,济源,郑州铁路局,客运站
浠水,,30.435522,115.237359,50,湖北,黄冈,武汉铁路局,客运站
浩良河,,46.732578,129.636961,50,黑龙江,伊春,哈尔滨铁路局,客运站
海伦,,47.464858,126.98751,65,黑龙江,绥化,哈尔滨铁路局,客运站
海北,,47.667692,126.870841,50,黑龙江,绥化,哈尔滨铁路局,客运站
海口,,20.029411,110.158159,100,海南,海口,广铁集团,客运站
海口东,,19.985634,110.338805,100,海南,海口,广铁集团,客运站
海坨子,,45.268919,124.038315,50,吉林,白城,沈阳铁路局,客运站
海城,,40.861469,122.737066,50,辽宁,鞍山,沈阳铁路局,客运站
海城西,,40.912885,122.654728,50,辽宁,鞍山,沈阳铁路局,客运站
海宁,,30.536067,120.680994,50,浙江,嘉兴,上海铁路局,客运站
海宁西,,30.441269,120.38724,50,浙江,嘉兴,上海铁路局,客运站
海安县,,32.549971,120.500044,50,江苏,南通,上海铁路局,客运站
海拉尔,,49.226856,119.733358,100,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
海林,,44.56508,129.380624,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
海湾,,30.864251,121.543857,50,上海,奉贤区,上海铁路局,客运站
海石湾,,36.341144,102.863708,50,甘肃,兰州,青藏铁路公司,客运站
海阳,,37.080592,120.992254,50,山东,烟台,济南铁路局,客运站
海龙,,42.65286,125.836381,50,吉林,通化,沈阳铁路局,客运站
涉县,,36.577166,113.661961,50,河北,邯郸,北京铁路局,客运站
涞源,,39.370571,114.70551,50,河北,保定,北京铁路局,客运站
涟源,,27.688157,111.670233,50,湖南,娄底,广铁集团,客运站
涡阳,,33.490534,116.234763,50,安徽,亳州,上海铁路局,客运站
涪陵,,29.703541,107.328996,50,重庆,涪陵区,成都铁路局,客运站
涪陵北,,29.770968,107.272305,50,重庆,涪陵区,成都铁路局,客运站
涵江,,25.494461,119.170902,50,福建,莆田,南昌铁路局,客运站
涿州,,39.480022,115.978147,50,河北,保定,北京铁路局,客运站
涿州东,,39.458408,116.046938,50,河北,保定,北京铁路局,客运站
淄博,,36.788775,118.051104,55,山东,淄博,济南铁路局,客运站
淮北,,33.968385,116.798367,100,安徽,淮北,上海铁路局,客运站
淮南,,32.632902,117.013995,50,安徽,淮南,上海铁路局,客运站
淮南东,,32.64811,117.14515,100,安徽,淮南,上海铁路局,客运站
淮安,,33.650154,119.027648,50,江苏,淮安,上海铁路局,客运站
淮滨,,32.502871,115.406425,55,河南,信阳,武汉铁路局,客运站
深井子,,41.784067,123.646679,50,辽宁,沈阳,沈阳铁路局,客运站
深圳,,22.534299,114.112069,100,广东,深圳,广铁集团,客运站
深圳东,,22.603841,114.113686,100,广东,深圳,广铁集团,客运站
深圳北,,22.611958,114.023922,100,广东,深圳,广铁集团,客运站
深圳坪山,,22.710511,114.321406,100,广东,深圳,广铁集团,客运站
深圳西,,22.531105,113.902647,100,广东,深圳,广铁集团,客运站
深州,,38.010924,115.607337,50,河北,衡水,北京铁路局,客运站
清华园,,39.981082,116.333229,50,北京,海淀区,北京铁路局,客运站
清原,,42.102218,124.930589,50,辽宁,抚顺,沈阳铁路局,客运站
清徐,,37.556683,112.307235,50,山西,太原,太原铁路局,客运站
清水,,39.35623,99.043159,50,甘肃,酒泉,兰州铁路局,客运站
清河,,40.040358,116.308941,50,北京,海淀区,北京铁路局,客运站
清河门,,41.77456,121.414353,50,辽宁,阜新,沈阳铁路局,客运站
清涧县,,37.166394,109.992754,50,陕西,榆林,西安铁路局,客运站
清远,,23.696526,113.12901,50,广东,清远,广铁集团,客运站
渑池,,34.754583,111.779834,50,河南,三门峡,郑州铁路局,客运站
渑池南,,34.686204,111.768268,50,河南,三门峡,郑州铁路局,客运站
渠县,,30.806857,107.008166,50,四川,达州,成都铁路局,客运站
渠旧,,22.517992,107.578499,50,广西壮族自治区,崇左,南宁铁路局,客运站
渠黎,,22.562782,107.795404,50,广西壮族自治区,崇左,南宁铁路局,客运站
温岭,,28.482108,121.320842,50,浙江,台州,上海铁路局,客运站
温州,,27.98344,120.681014,100,浙江,温州,上海铁路局,客运站
温州南,,27.969502,120.581081,100,浙江,温州,上海铁路局,客运站
温春,,44.433422,129.494128,50,黑龙江,牡丹江,哈尔滨铁路局,客运站
渭南,,34.486148,109.488591,60,陕西,渭南,西安铁路局,客运站
渭南北,,34.537515,109.476327,50,陕西,渭南,西安铁路局,客运站
渭南南,,35.285178,110.051585,50,陕西,渭南,西安铁路局,客运站
渭南镇,,34.689566,105.633778,50,甘肃,天水,兰州铁路局,客运站
渭津,,42.791259,125.275874,50,吉林,辽源,沈阳铁路局,客运站
湖口,,29.731645,116.279758,50,江西,九江,南昌铁路局,客运站
湖州,,30.865561,120.018333,55,浙江,湖州,上海铁路局,客运站
湘乡,,27.74804,112.524006,50,湖南,湘潭,广铁集团,客运站
湘潭,,27.878751,112.907681,100,湖南,湘潭,广铁集团,客运站
湛江,,21.189448,110.385913,100,广东,湛江,南宁铁路局,客运站
湛江西,,21.218425,110.276244,100,广东,湛江,广铁集团,客运站
湟源,,36.748212,101.165165,50,青海,西宁,青藏铁路公司,客运站
溆浦,,27.930051,110.573237,50,湖南,怀化,广铁集团,客运站
源潭,,23.665004,113.196672,50,广东,清远,广铁集团,客运站
溧水,,31.681546,119.091109,50,江苏,南京,上海铁路局,客运站
溧阳,,31.388213,119.49796,60,江苏,常州,上海铁路局,客运站
滁州,,32.200054,118.315035,55,安徽,滁州,上海铁路局,客运站
滁州北,,32.309755,118.321692,50,安徽,滁州,上海铁路局,客运站
滕州,,35.081121,117.148109,50,山东,枣庄,济南铁路局,客运站
滕州东,,35.090649,117.251764,50,山东,枣庄,济南铁路局,客运站
满归,,52.03519,122.067387,60,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
满洲里,,49.582663,117.442149,100,内蒙古自治区,呼伦贝尔,哈尔滨铁路局,客运站
滦县,,39.75649,118.700061,50,河北,唐山,北京铁路局,客运站
滦平,,40.921694,117.310041,50,河北,承德,北京铁路局,客运站
滦河,,39.855673,118.665592,50,河北,唐山,北京铁路局,客运站
滨江,,45.773899,126.650096,50,黑龙江,哈尔滨,哈尔滨铁路局,客运站
滨海,,39.080738,117.605595,100,天津,滨海新区,北京铁路局,客运站
滨海北,,39.235505,117.755277,50,天津,滨海新区,北京铁路局,客运站
滴道,,45.343705,130.826121,50,黑龙江,鸡西,哈尔滨铁路局,客运站
漠河,,52.988379,122.504609,60,黑龙江,大兴安岭地区,哈尔滨铁路局,客运站
漯河,,33.572329,114.036578,60,河南,漯河,武汉铁路局,客运站
漯河西,,33.574608,113.957537,55,河南,漯河,武汉铁路局,客运站
漳州,,24.460015,117.711063,65,福建,漳州,南昌铁路局,客运站
漳州东,,24.56733,117.739798,50,福建,漳州,南昌铁路局,客运站
漳平,,25.309206,117.41416,50,福建,龙岩,南昌铁路局,客运站
漳浦,,24.09889,117.558136,50,福建,漳州,南昌铁路局,客运站
潍坊,,36.697027,119.092428,60,山东,潍坊,济南铁路局,客运站
潜江,,30.39231,112.933528,50,湖北,潜江,武汉铁路局,客运站
潞城,,36.320893,113.215604,60,山西,长治,北京铁路局,客运站
潢川,,32.113908,115.096635,50,河南,信阳,武汉铁路局,客运站
潮州,,23.641098,116.579882,50,广东,潮州,广铁集团,客运站
潮汕,,23.539379,116.583575,100,广东,潮州,广铁集团,客运站
潮阳,,23.383736,116.417305,50,广东,汕头,广铁集团,客运站
潼关,,34.537229,110.242685,55,陕西,渭南,西安铁路局,客运站
潼南,,30.222321,105.874073,60,重庆,潼南县,成都铁路局,客运站
澧县,,29.822118,111.599038,55,湖南,常德,广铁集团,客运站
濑湍,,22.44806,107.497662,50,广西壮族自治区,崇左,南宁铁路局,客运站
灌水,,40.860405,124.560273,50,辽宁,丹东,沈阳铁路局,客运站
火连寨,,41.356471,123.728509,50,辽宁,本溪,沈阳铁路局,客运站
灯塔,,41.428028,123.311907,50,辽宁,辽阳,沈阳铁路局,客运站
灵丘,,39.460786,114.216233,55,山西,大同,太原铁路局,客运站
灵宝,,34.512107,110.89254,50,河南,三门峡,郑州铁路局,客运站
灵宝西,,34.579661,110.68375,60,河南,三门峡,郑州铁路局,客运站
灵武,,38.157323,106.362861,50,宁夏回族自治区,银川,兰州铁路局,客运站
灵璧,,33.600204,117.535978,50,安徽,宿州,上海铁路局,客运站
灵石东,,36.879696,111.908195,50,山西,晋中,太原铁路局,客运站
炉桥,,32.557514,117.219988,50,安徽,滁州,上海铁路局,客运站
炎陵,,26.503385,113.778385,50,湖南,株洲,南昌铁路局,客运站
烟台,,37.547565,121.377593,100,山东,烟台,济南铁路局,客运站
烟筒屯,,47.001207,124.161208,50,黑龙江,大庆,哈尔滨铁路局,客运站
烟筒山,,43.284007,126.024744,50,吉林,吉林,沈阳铁路局,客运站
热水,,43.475477,117.689695,50,内蒙古自治区,赤峰,沈阳铁路局,客运站
